✓,Card,Type,Color,View,Picked By,
,Ranger Class,Enchantment — Class,G,View,,
✓,"Nissa, Who Shakes the World",Legendary Planeswalker — Nissa,G,View,clorpy,$F$27
✓,"Nissa, Ascended Animist",Legendary Planeswalker — Nissa,G,View,drewshaver,$L$22
✓,"Boseiju, Who Endures",Legendary Land,G,View,drewshaver,$L$33
✓,Shifting Woodland,Land,G,View,drewshaver,$L$34
✓,"Spider-Woman, Stunning Savior",Legendary Creature — Spider Human Hero,WU,View,Siddharth ,$H$6
,"Aang, Swift Savior",Legendary Creature — Human Avatar Ally,WU,View,,
✓,"Plagon, Lord of the Beach",Legendary Creature — Starfish Wizard,WU,View,Balbadorf,$J$40
,"Tameshi, Reality Architect",Legendary Creature — Moonfolk Wizard,WU,View,,
✓,No More Lies,Instant,WU,View,joshez,$C$32
✓,Supreme Verdict,Sorcery,WU,View,joshez,$C$34
,Talisman of Progress,Artifact,WU,View,,
✓,Assimilation Aegis,Artifact — Equipment,WU,View,joshez,$C$36
✓,"Teferi, Time Raveler",Legendary Planeswalker — Teferi,WU,View,clorpy,$F$34
✓,"Teferi, Hero of Dominaria",Legendary Planeswalker — Teferi,WU,View,joshez,$C$33
✓,Celestial Colonnade,Land,WU,View,joshez,$C$31
✓,Hallowed Fountain,Land — Plains Island,WU,View,joshez,$C$30
✓,Hallowed Fountain 2,Land — Plains Island,WU,View,joshez,$C$29
✓,Meticulous Archive,Land — Plains Island,WU,View,Siddharth ,$H$29
✓,Seachrome Coast,Land,WU,View,ebbitten,$K$39
,"Cecil, Dark Knight",Legendary Creature — Human Knight,WB,View,,
✓,Priest of Fell Rites,Creature — Human Warlock,WB,View,Siddharth ,$H$47
✓,Sorin of House Markov,Legendary Creature — Human Noble,WB,View,Siddharth ,$H$30
✓,Lurrus of the Dream-Den,Legendary Creature — Cat Nightmare,WB,View,Siddharth ,$H$8
,"Teysa, Opulent Oligarch",Legendary Creature — Human Advisor,WB,View,,
✓,Damn,Sorcery,WB,View,joshez,$C$23
✓,Lingering Souls,Sorcery,WB,View,Siddharth ,$H$32
✓,Concealed Courtyard,Land,WB,View,Siddharth ,$H$44
✓,Godless Shrine,Land — Plains Swamp,WB,View,Siddharth ,$H$17
✓,Godless Shrine 2,Land — Plains Swamp,WB,View,Siddharth ,$H$24
✓,Restless Fortress,Land,WB,View,Siddharth ,$H$48
✓,Shadowy Backstreet,Land — Plains Swamp,WB,View,clorpy,$F$24
✓,Figure of Destiny,Creature — Kithkin,WR,View,dgcritch,$I$10
✓,Imodane's Recruiter,Creature — Human Knight,WR,View,dgcritch,$I$34
