✓,Card,Type,Color,View,Picked By,
✓,"Venser, Shaper Savant",Legendary Creature — Human Wizard,U,View,gogey,$L$45
✓,Quantum Riddler,Creature — Sphinx,U,View,giya76,$J$6
✓,"Wan Shi Tong, All-Knowing",Legendary Creature — Bird Spirit,U,View,gogey,$L$28
,Kappa Cannoneer,Artifact Creature — Turtle Warrior,U,View,,
✓,Torrential Gearhulk,Artifact Creature — Construct,U,View,Adhavoc,$D$24
✓,Brainstorm,Instant,U,View,gogey,$L$7
✓,Consider,Instant,U,View,giya76,$J$37
✓,Fading Hope,Instant,U,View,giya76,$J$34
✓,Force Spike,Instant,U,View,dkriddles,$E$37
,Opt,Instant,U,View,,
✓,Spell Pierce,Instant,U,View,gogey,$L$11
✓,Stern Scolding,Instant,U,View,gogey,$L$24
✓,Thought Scour,Instant,U,View,dkriddles,$E$46
✓,Three Steps Ahead,Instant,U,View,dkriddles,$E$20
✓,Consult the Star Charts,Instant,U,View,gogey,$L$16
✓,Counterspell,Instant,U,View,gogey,$L$19
✓,Make Disappear,Instant,U,View,giya76,$J$22
✓,Mana Leak,Instant,U,View,dkriddles,$E$6
✓,Memory Lapse,Instant,U,View,gogey,$L$5
✓,Miscalculation,Instant,U,View,Adhavoc,$D$21
✓,Remand,Instant,U,View,giya76,$J$10
✓,Cryptic Command,Instant,U,View,gogey,$L$21
✓,Mystic Confluence,Instant,U,View,Adhavoc,$D$18
✓,Sublime Epiphany,Instant,U,View,Adhavoc,$D$23
✓,Commit // Memory,Instant,U,View,gogey,$L$40
✓,Hard Evidence,Sorcery,U,View,giya76,$J$44
✓,Ponder,Sorcery,U,View,gogey,$L$31
✓,Preordain,Sorcery,U,View,gogey,$L$25
,Chart a Course,Sorcery,U,View,,
✓,Stock Up,Sorcery,U,View,dkriddles,$E$12
✓,Unnerving Grasp,Sorcery,U,View,Jack,$G$33
✓,Winternight Stories,Sorcery,U,View,dkriddles,$E$34
✓,Lórien Revealed,Sorcery,U,View,gogey,$L$8
✓,Temporal Manipulation,Sorcery,U,View,gogey,$L$39
✓,Time Warp,Sorcery,U,View,Jack,$G$23
✓,Treasure Cruise,Sorcery,U,View,Adhavoc,$D$35
✓,Aether Spellbomb,Artifact,U,View,gogey,$L$35
✓,Astrologian's Planisphere,Artifact — Equipment,U,View,Adhavoc,$D$30
✓,Cryptic Coat,Artifact — Equipment,U,View,giya76,$J$32
,Stormchaser's Talent,Enchantment — Class,U,View,,
✓,Unable to Scream,Enchantment — Aura,U,View,dkriddles,$E$33
✓,Dress Down,Enchantment,U,View,gogey,$L$38
✓,Proft's Eidetic Memory,Legendary Enchantment,U,View,Adhavoc,$D$32
✓,"Narset, Parter of Veils",Legendary Planeswalker — Narset,U,View,gogey,$L$30
✓,"Jace, the Mind Sculptor",Legendary Planeswalker — Jace,U,View,gogey,$L$18
✓,Mystic Sanctuary,Land — Island,U,View,gogey,$L$34
✓,"Otawara, Soaring City",Legendary Land,U,View,Adhavoc,$D$17
✓,Concealing Curtains,Creature — Wall,B,View,Andrew 420,$H$39
✓,Forsaken Miner,Creature — Skeleton Rogue,B,View,aidybaby,$F$25
✓,Knight of the Ebon Legion,Creature — Vampire Knight,B,View,aidybaby,$F$36
,Nethergoyf,Creature — Lhurgoyf,B,View,,
✓,Stalactite Stalker,Creature — Goblin Rogue,B,View,Andrew 420,$H$41
,Blade of the Oni,Artifact Creature — Equipment Demon,B,View,,
✓,Bloodghast,Creature — Vampire Spirit,B,View,aidybaby,$F$46
✓,Caustic Bronco,Creature — Snake Horse Mount,B,View,aidybaby,$F$27
✓,Dark Confidant,Creature — Human Wizard,B,View,aidybaby,$F$13
✓,Dauthi Voidwalker,Creature — Dauthi Rogue,B,View,aidybaby,$F$8
✓,Deep-Cavern Bat,Creature — Bat,B,View,aidybaby,$F$12
✓,"Jadar, Ghoulcaller of Nephalia",Legendary Creature — Human Wizard,B,View,aidybaby,$F$30
✓,Marionette Apprentice,Creature — Human Artificer,B,View,aidybaby,$F$26
✓,Misery's Shadow,Creature — Shade,B,View,Andrew 420,$H$30
✓,Priest of Forgotten Gods,Creature — Human Cleric,B,View,aidybaby,$F$16
✓,Sinkhole Surveyor,Creature — Bird Scout,B,View,dkriddles,$E$47
✓,Sunset Saboteur,Creature — Human Rogue,B,View,Andrew 420,$H$42
✓,Tenacious Underdog,Creature — Human Warrior,B,View,aidybaby,$F$31
✓,"Tourach, Dread Cantor",Legendary Creature — Human Cleric,B,View,Andrew 420,$H$27
✓,"Gix, Yawgmoth Praetor",Legendary Creature — Phyrexian Praetor,B,View,dkriddles,$E$44
✓,Ophiomancer,Creature — Human Shaman,B,View,dkriddles,$E$32
✓,Preacher of the Schism,Creature — Vampire Cleric,B,View,dkriddles,$E$17
