 ,Card,Type,Color,View,UR,
✓,Bitter Triumph,Instant,B,View,Keith,$D$22
✓,Go for the Throat,Instant,B,View,philjackson,$H$18
✓,Infernal Grasp,Instant,B,View,Greg,$I$16
✓,Sheoldred's Edict,Instant,B,View,Greg,$I$25
✓,Dismember,Instant,B,View,philjackson,$H$6
,Saw in Half,Instant,B,View,,
✓,Fell the Profane,Instant,B,View,Keith,$D$24
✓,Snuff Out,Instant,B,View,Greg,$I$13
✓,Murderous Cut,Instant,B,View,Keith,$D$13
✓,Bloodchief's Thirst,Sorcery,B,View,Keith,$D$35
✓,Bone Shards,Sorcery,B,View,philjackson,$H$28
✓,Duress,Sorcery,B,View,Greg,$I$34
✓,Inquisition of Kozilek,Sorcery,B,View,Greg,$I$17
✓,Thoughtseize,Sorcery,B,View,philjackson,$H$4
✓,Unearth,Sorcery,B,View,philjackson,$H$26
✓,Collective Brutality,Sorcery,B,View,Keith,$D$46
✓,Demonic Tutor,Sorcery,B,View,Keith,$D$7
✓,Fell,Sorcery,B,View,philjackson,$H$24
✓,Persist,Sorcery,B,View,philjackson,$H$33
✓,Quag Feast,Sorcery,B,View,Keith,$D$23
✓,Toxic Deluge,Sorcery,B,View,philjackson,$H$8
✓,Damnation,Sorcery,B,View,Greg,$I$21
✓,Gix's Command,Sorcery,B,View,Keith,$D$21
✓,Scavenger's Talent,Enchantment — Class,B,View,philjackson,$H$40
✓,Bitterblossom,Kindred Enchantment — Faerie,B,View,philjackson,$H$14
,Chthonian Nightmare,Enchantment,B,View,,
✓,The Meathook Massacre,Legendary Enchantment,B,View,philjackson,$H$19
✓,Necromancy,Enchantment,B,View,Nova,$J$24
✓,Virtue of Persistence,Enchantment,B,View,Keith,$D$36
✓,Liliana of the Veil,Legendary Planeswalker — Liliana,B,View,Keith,$D$43
,Phyrexian Tower,Legendary Land,B,View,,
✓,Spymaster's Vault,Land,B,View,philjackson,$H$31
✓,Bomat Courier,Artifact Creature — Construct,R,View,Aviseras,$E$41
✓,Dragon's Rage Channeler,Creature — Human Shaman,R,View,Keith,$D$15
✓,Grim Lavamancer,Creature — Human Wizard,R,View,Aviseras,$E$42
✓,Heartfire Hero,Creature — Mouse Soldier,R,View,Aviseras,$E$36
✓,Hired Claw,Creature — Lizard Mercenary,R,View,Aviseras,$E$16
✓,Marauding Mako,Creature — Shark Pirate,R,View,Aviseras,$E$43
✓,Rabbit Battery,Artifact Creature — Equipment Rabbit,R,View,Aviseras,$E$39
✓,"Ragavan, Nimble Pilferer",Legendary Creature — Monkey Pirate,R,View,Aviseras,$E$4
✓,Voldaren Epicure,Creature — Vampire,R,View,Aviseras,$E$47
,Amped Raptor,Creature — Dinosaur,R,View,,
,Bloodthirsty Adversary,Creature — Vampire,R,View,,
,Dragonkin Berserker,Creature — Human Berserker,R,View,,
✓,Dreadhorde Arcanist,Creature — Zombie Wizard,R,View,Aviseras,$E$34
✓,Earthshaker Khenra,Creature — Jackal Warrior,R,View,Aviseras,$E$17
✓,Emberheart Challenger,Creature — Mouse Warrior,R,View,Aviseras,$E$40
✓,Fear of Missing Out,Enchantment Creature — Nightmare,R,View,Keith,$D$6
✓,Generous Plunderer,Creature — Human Rogue,R,View,Keith,$D$14
✓,"Inti, Seneschal of the Sun",Legendary Creature — Human Knight,R,View,Aviseras,$E$6
✓,"Ivora, Insatiable Heir",Legendary Creature — Vampire Warrior,R,View,Aviseras,$E$9
✓,"Kari Zev, Skyship Raider",Legendary Creature — Human Pirate,R,View,Aviseras,$E$18
✓,"Magda, Brazen Outlaw",Legendary Creature — Dwarf Berserker,R,View,clong,$K$27
✓,Robber of the Rich,Creature — Human Archer Rogue,R,View,Aviseras,$E$19
✓,Scrapwork Mutt,Artifact Creature — Dog,R,View,Aviseras,$E$28
✓,Searslicer Goblin,Creature — Goblin Warrior,R,View,Aviseras,$E$35
✓,Bonecrusher Giant,Creature — Giant,R,View,Keith,$D$16
✓,Detective's Phoenix,Enchantment Creature — Phoenix,R,View,clong,$K$37
✓,Goblin Rabblemaster,Creature — Goblin Warrior,R,View,Mr. Fancypants,$L$38
✓,"Laelia, the Blade Reforged",Legendary Creature — Spirit Warrior,R,View,Aviseras,$E$7
✓,Rampaging Ferocidon,Creature — Dinosaur,R,View,Aviseras,$E$33
✓,Screaming Nemesis,Creature — Spirit,R,View,Aviseras,$E$12
✓,Seasoned Pyromancer,Creature — Human Shaman,R,View,Aviseras,$E$13
✓,Tersa Lightshatter,Legendary Creature — Orc Wizard,R,View,Aviseras,$E$14
,Pia and Kiran Nalaar,Legendary Creature — Human Artificer,R,View,,
✓,Pyrogoyf,Creature — Lhurgoyf,R,View,clong,$K$4
✓,Rampaging Raptor,Creature — Dinosaur,R,View,Aviseras,$E$45
✓,Bonehoard Dracosaur,Creature — Dinosaur Dragon,R,View,Keith,$D$39
✓,Fury,Creature — Elemental Incarnation,R,View,Keith,$D$5
✓,Glorybringer,Creature — Dragon,R,View,Aviseras,$E$32
✓,Goldspan Dragon,Creature — Dragon,R,View,Keith,$D$47
✓,Zealous Conscripts,Creature — Human Warrior,R,View,Tendertouch,$F$45
